Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,SSD,HDD,Flash Storage,Gpu_Brand
apple,ultrabook,8,mac,1.37,0,1,226.98300468106115,intel core i5,128,0,0,intel
apple,ultrabook,8,mac,1.34,0,0,127.67794013309688,intel core i5,0,0,128,intel
hp,notebook,8,other,1.86,0,0,141.21199808219862,intel core i5,256,0,0,intel
apple,ultrabook,16,mac,1.83,0,1,220.53462386625827,intel core i7,512,0,0,amd
apple,ultrabook,8,mac,1.37,0,1,226.98300468106115,intel core i5,256,0,0,intel
acer,notebook,4,windows,2.1,0,0,100.45466986113651,amd processer,0,500,0,amd
apple,ultrabook,16,mac,2.04,0,1,220.53462386625827,intel core i7,0,0,256,intel
apple,ultrabook,8,mac,1.34,0,0,127.67794013309688,intel core i5,0,0,256,intel
asus,ultrabook,16,windows,1.3,0,0,157.3505121487356,intel core i7,512,0,0,nvidia
acer,ultrabook,8,windows,1.6,0,1,157.3505121487356,intel core i5,256,0,0,intel
hp,notebook,4,other,1.86,0,0,100.45466986113651,intel core i5,0,500,0,intel
hp,notebook,4,other,1.86,0,0,141.21199808219862,intel core i3,0,500,0,intel
apple,ultrabook,16,mac,1.83,0,1,220.53462386625827,intel core i7,256,0,0,amd
dell,notebook,4,windows,2.2,0,0,141.21199808219862,intel core i3,256,0,0,amd
apple,ultrabook,8,mac,0.92,0,1,226.41554716935852,other intel processer,256,0,0,intel
apple,ultrabook,8,mac,1.37,0,1,226.98300468106115,intel core i5,256,0,0,intel
dell,notebook,8,windows,2.2,0,0,141.21199808219862,intel core i7,256,0,0,amd
apple,ultrabook,16,mac,1.83,0,1,220.53462386625827,intel core i7,512,0,0,amd
lenovo,notebook,8,other,2.2,0,0,141.21199808219862,intel core i3,0,1024,0,nvidia
dell,ultrabook,8,windows,1.22,1,1,165.6321180513006,intel core i5,128,0,0,intel
lenovo,gaming,8,windows,2.5,0,1,141.21199808219862,intel core i5,128,1024,0,nvidia
hp,notebook,4,other,1.86,0,0,100.45466986113651,amd processer,0,500,0,amd
dell,2 in 1 convertible,8,windows,1.62,1,0,165.6321180513006,intel core i5,256,0,0,intel
hp,ultrabook,8,windows,1.91,0,0,141.21199808219862,intel core i7,256,0,0,intel
dell,notebook,4,windows,2.3,0,0,100.45466986113651,intel core i3,0,1024,0,intel
apple,ultrabook,8,mac,1.35,0,0,127.67794013309688,intel core i5,0,0,128,intel
dell,notebook,8,windows,2.2,0,0,141.21199808219862,intel core i5,256,0,0,amd
dell,ultrabook,8,windows,1.88,0,0,141.21199808219862,intel core i7,512,0,0,intel
hp,notebook,8,windows,2.5,0,0,127.33567457123111,intel core i5,0,1024,0,nvidia
chuwi,notebook,4,windows,1.89,0,0,141.21199808219862,other intel processer,0,0,64,intel
asus,notebook,2,windows,1.65,0,0,111.93520355955211,amd processer,0,0,32,amd
